Erstfeld_S_Goeschenen,,,,,,
Datum,Fahrzeuge pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 11:51-11:54,74,108,69,108,94,107
2014-07-18 11:54-11:57,64,109,76,109,81,109
2014-07-18 11:57-12:00,54,112,85,105,93,108
2014-07-18 12:00-12:03,98,110,72,110,81,112
2014-07-18 12:03-12:06,77,108,79,111,84,109
2014-07-18 12:06-12:09,66,105,92,109,63,112
2014-07-18 12:09-12:12,68,111,78,111,101,109
2014-07-18 12:12-12:15,76,106,83,107,64,112
2014-07-18 12:15-12:18,81,109,106,110,78,113
2014-07-18 12:18-12:21,77,108,83,108,74,108
2014-07-18 12:21-12:24,66,109,70,110,57,113
2014-07-18 12:24-12:27,78,108,69,109,69,111
2014-07-18 12:27-12:30,69,109,65,111,65,110
2014-07-18 12:30-12:33,78,108,83,107,78,112
2014-07-18 12:33-12:36,63,110,58,107,72,113
2014-07-18 12:36-12:39,55,108,73,108,70,109
2014-07-18 12:39-12:42,72,112,63,111,61,109
2014-07-18 12:42-12:45,66,98,75,103,53,114
2014-07-18 12:45-12:48,62,108,70,112,75,110
2014-07-18 12:48-12:51,80,108,57,112,69,109
2014-07-18 12:51-12:54,64,110,53,109,69,111
2014-07-18 12:54-12:57,75,111,70,109,77,107
2014-07-18 12:57-13:00,63,105,64,105,68,113
2014-07-18 13:00-13:03,66,108,73,109,59,111
2014-07-18 13:03-13:06,62,108,79,106,78,110
2014-07-18 13:06-13:09,73,110,57,111,54,110
2014-07-18 13:09-13:12,71,105,78,111,68,109
2014-07-18 13:12-13:15,67,107,60,107,65,112
2014-07-18 13:15-13:18,59,108,73,109,63,110
2014-07-18 13:18-13:21,72,107,58,116,61,109
2014-07-18 13:21-13:24,63,104,90,111,60,110
2014-07-18 13:24-13:27,71,105,57,110,50,113
2014-07-18 13:27-13:30,84,109,70,111,59,111
2014-07-18 13:30-13:33,54,113,41,112,59,114
2014-07-18 13:33-13:36,74,108,62,111,45,110
2014-07-18 13:36-13:39,59,107,71,108,55,113
2014-07-18 13:39-13:42,77,110,71,108,55,109
2014-07-18 13:42-13:45,56,108,44,114,56,106
2014-07-18 13:45-13:48,53,110,54,110,61,112
2014-07-18 13:48-13:51,66,104,70,106,61,108
2014-07-18 13:51-13:54,74,111,80,111,45,116
2014-07-18 13:54-13:57,58,115,56,110,50,112
2014-07-18 13:57-14:00,63,110,51,113,54,115
2014-07-18 14:00-14:03,59,107,68,106,71,112
2014-07-18 14:03-14:06,57,111,61,110,51,112
2014-07-18 14:06-14:09,68,113,67,110,60,110
2014-07-18 14:09-14:12,61,110,58,111,51,112
2014-07-18 14:12-14:15,64,107,48,115,75,112
2014-07-18 14:15-14:18,86,107,58,115,56,114
2014-07-18 14:18-14:21,87,106,45,112,49,111
2014-07-18 14:21-14:24,59,108,58,107,59,112
2014-07-18 14:24-14:27,74,107,48,104,68,112
2014-07-18 14:27-14:30,80,108,44,108,75,105
2014-07-18 14:30-14:33,64,109,63,107,51,109
2014-07-18 14:33-14:36,69,103,58,109,63,106
2014-07-18 14:36-14:39,74,100,37,110,56,109
2014-07-18 14:39-14:42,79,112,63,108,60,112
2014-07-18 14:42-14:45,65,111,60,109,50,111
2014-07-18 14:45-14:48,61,110,43,111,49,114
2014-07-18 14:48-14:51,70,107,53,114,81,107
2014-07-18 14:51-14:54,71,106,58,109,66,112
2014-07-18 14:54-14:57,57,108,55,116,48,115
2014-07-18 14:57-15:00,91,108,63,111,51,104
2014-07-18 15:00-15:03,70,109,39,110,47,112
2014-07-18 15:03-15:06,68,107,65,104,53,109
2014-07-18 15:06-15:09,62,108,59,113,51,111
2014-07-18 15:09-15:12,62,112,48,109,58,108
2014-07-18 15:12-15:15,65,110,51,113,38,114
2014-07-18 15:15-15:18,53,109,61,108,56,110
2014-07-18 15:18-15:21,56,108,60,106,56,110
2014-07-18 15:21-15:24,62,108,41,111,50,113
2014-07-18 15:24-15:27,62,109,49,116,43,107
2014-07-18 15:27-15:30,82,105,27,109,36,115
2014-07-18 15:30-15:33,61,110,67,112,53,110
2014-07-18 15:33-15:36,60,111,62,112,50,112
2014-07-18 15:36-15:39,71,110,30,117,44,113
2014-07-18 15:39-15:42,45,107,61,108,58,115
2014-07-18 15:42-15:45,60,108,50,113,58,110
